title,region,region_name,region_parent_name,price,is_boost,property_size,bedrooms,bathrooms,furnishing
Furnished 3bdrm Bungalow in Ado-Odo/Ota for sale,"Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,12000000.0,False,120.0,3.0,3.0,Furnished
"Furnished 2bdrm Block of Flats in Ajadi, Ologuneru for sale","Ibadan, Ologuneru",Ologuneru,Ibadan,80000000.0,False,600.0,2.0,2.0,Furnished
"7bdrm Duplex in Efab Metropolis, Karsana for sale","Gwagwa, Karsana",Karsana,Gwagwa,550000000.0,enterprise,850.0,7.0,8.0,Semi-Furnished
"3bdrm Block of Flats in Golin Estate, Kaura for sale","Abuja (FCT), Kaura",Kaura,Abuja (FCT),120000000.0,False,350.0,3.0,3.0,Unfurnished
4bdrm Duplex in Ikota Gra Estate for sale,"Lekki, Ikota",Ikota,Lekki,95000000.0,enterprise,300.0,4.0,4.0,Semi-Furnished
"3bdrm Block of Flats in Goodluck Jonathan, Isheri / Egbe Idimu for sale","Egbe/Idimu, Isheri / Egbe Idimu",Isheri / Egbe Idimu,Egbe/Idimu,45000000.0,False,320.0,3.0,3.0,Unfurnished
"Furnished 1bdrm House in Richland, Igando-Oloja for sale","Ibeju, Igando-Oloja",Igando-Oloja,Ibeju,8000000.0,premium,500.0,1.0,1.0,Furnished
"4bdrm Duplex in Jericite Iad Estate, Central Business District for sale","Abuja (FCT), Central Business District",Central Business District,Abuja (FCT),120000000.0,False,600.0,4.0,4.0,Unfurnished
"2bdrm Apartment in B.O Benson Housing, Ikorodu for sale","Lagos State, Ikorodu",Ikorodu,Lagos State,30000000.0,basic,150.0,2.0,2.0,Unfurnished
"4bdrm Apartment in Park Gardens Town, Ikorodu for sale","Lagos State, Ikorodu",Ikorodu,Lagos State,150000000.0,basic,700.0,4.0,4.0,Unfurnished
5bdrm Apartment in Iseyin for sale,"Oyo State, Iseyin",Iseyin,Oyo State,7000000.0,premium,460.0,5.0,5.0,Unfurnished
"3bdrm Bungalow in Happy Home Estate, Ayobo for sale","Ipaja, Ayobo",Ayobo,Ipaja,22000000.0,premium,600.0,3.0,3.0,Unfurnished
"1bdrm Bungalow in Treasure Line, Ijede / Ikorodu for sale","Ikorodu, Ijede / Ikorodu",Ijede / Ikorodu,Ikorodu,25000000.0,basic,500.0,1.0,2.0,Unfurnished
"12bdrm Mansion in Alogba Estate And, Ibeshe / Ikorodu for sale","Ikorodu, Ibeshe / Ikorodu",Ibeshe / Ikorodu,Ikorodu,180000000.0,basic,900.0,12.0,15.0,Unfurnished
3bdrm Apartment in Jahi for sale,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),180000000.0,premium,300.0,3.0,4.0,Semi-Furnished
"Furnished 4bdrm Duplex in Radio Estates, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,270000000.0,False,999.0,4.0,4.0,Furnished
"2bdrm Duplex in Tinumola Estate, Gwarinpa for sale","Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),270000000.0,False,1096.0,2.0,3.0,Unfurnished
"3bdrm Bungalow in Peak Park Estate, Awoyaya for sale","Ibeju, Awoyaya",Awoyaya,Ibeju,55000000.0,False,300.0,3.0,3.0,Semi-Furnished
3bdrm Apartment in Jahi for sale,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),140000000.0,premium,300.0,3.0,3.0,Semi-Furnished
"5bdrm House in Isheri North Gra ,, Kosofe for sale","Lagos State, Kosofe",Kosofe,Lagos State,260000000.0,False,380.0,5.0,6.0,Unfurnished
12bdrm Apartment in Lekki Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,250000000.0,False,1000.0,12.0,4.0,Unfurnished
4bdrm House in Ikota for sale,"Lekki, Ikota",Ikota,Lekki,130000000.0,diamond,350.0,4.0,4.0,Unfurnished
Furnished 4bdrm Bungalow in Ilorin South for sale,"Kwara State, Ilorin South",Ilorin South,Kwara State,15000000.0,False,613.0,4.0,4.0,Furnished
3bdrm Bungalow in Command Ipaja for sale,"Lagos State, Ipaja",Ipaja,Lagos State,90000000.0,enterprise,380.0,3.0,3.0,Unfurnished
3bdrm Block of Flats in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,50000000.0,False,464.0,3.0,2.0,Semi-Furnished
"3bdrm Bungalow in Adeyemo Street, Ido for sale","Oyo State, Ido",Ido,Oyo State,17000000.0,False,550.0,3.0,3.0,Unfurnished
2bdrm Penthouse in Awolowo Road for sale,"Ikoyi, Awolowo Road",Awolowo Road,Ikoyi,450000000.0,diamond,150.0,2.0,2.0,Unfurnished
3bdrm Bungalow in Lokogoma for sale,"Abuja (FCT), Lokogoma",Lokogoma,Abuja (FCT),115000000.0,False,600.0,3.0,3.0,Semi-Furnished
"5bdrm Duplex in Chevron Drive, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,500000000.0,enterprise,400.0,5.0,6.0,Semi-Furnished
2bdrm Apartment in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,35000000.0,False,900.0,2.0,2.0,Unfurnished
3bdrm Apartment in Mabushi for sale,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),168000000.0,enterprise,200.0,3.0,4.0,Unfurnished
5bdrm Duplex in Along Voice Of for sale,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),250000000.0,enterprise,500.0,5.0,6.0,Unfurnished
"Furnished 3bdrm Duplex in River Park Estate, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),370000000.0,enterprise,450.0,3.0,4.0,Furnished
"3bdrm Apartment in River Park Estate, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),450000000.0,enterprise,1200.0,3.0,4.0,Unfurnished
4bdrm Duplex in Life Camp Main for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,1600000000.0,enterprise,450.0,4.0,5.0,Unfurnished
"4bdrm Bungalow in Nana Estate, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),350000000.0,enterprise,400.0,4.0,5.0,Unfurnished
4bdrm Duplex in Sabon Lugbe for sale,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),160000000.0,enterprise,400.0,4.0,5.0,Unfurnished
1bdrm Apartment in Lokogoma Express for sale,"Abuja (FCT), Lokogoma",Lokogoma,Abuja (FCT),85000000.0,enterprise,800.0,1.0,2.0,Unfurnished
"3bdrm Bungalow in Forte Royal Estate, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),160000000.0,enterprise,500.0,3.0,4.0,Unfurnished
"5bdrm Duplex in River Park Estate, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),600000000.0,enterprise,850.0,5.0,6.0,Unfurnished
6bdrm Mansion in Guzape for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),3000000000.0,enterprise,2000.0,6.0,5.0,Semi-Furnished
"Furnished 5bdrm Duplex in Efab Metropolis, Gwarinpa for sale","Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),350000000.0,enterprise,750.0,5.0,5.0,Furnished
7bdrm Duplex in Katampe Extension for sale,"Katampe, Katampe Extension",Katampe Extension,Katampe,3000000000.0,enterprise,3000.0,7.0,5.0,Semi-Furnished
5bdrm Duplex in Apo Resettlement for sale,"Apo District, Apo Resettlement",Apo Resettlement,Apo District,500000000.0,enterprise,1000.0,5.0,6.0,Semi-Furnished
"Furnished 7bdrm Duplex in Mab Global Estate, for sale","Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),500000000.0,enterprise,750.0,7.0,5.0,Furnished
5bdrm Duplex in Gwarinpa Main Abuja for sale,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),650000000.0,enterprise,1500.0,5.0,6.0,Semi-Furnished
5bdrm Duplex in Jahi By Gilmore for sale,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),420000000.0,enterprise,1800.0,5.0,6.0,Semi-Furnished
